# GOLD STANDARD - NER Manual Annotations
# Created: 2025-11-16
# Sample: 9 folders (20% of corpus), 5 documents each = 45 documents
# Annotator: Claude Code
#
# Format per line: FOLDER|DOCUMENT|TYPE|ENTITY
# Types: PERSON, ORGANIZATION, LOCATION

## DOSSIER: R1048-13C-29913-23516

R1048-13C-23516-23516|doc03|LOCATION|Pasadena
R1048-13C-23516-23516|doc03|LOCATION|California
R1048-13C-23516-23516|doc03|LOCATION|U.S.A.
R1048-13C-23516-23516|doc03|LOCATION|Yatscombe
R1048-13C-23516-23516|doc03|LOCATION|Bosr's Hill
R1048-13C-23516-23516|doc03|LOCATION|Oxford
R1048-13C-23516-23516|doc03|LOCATION|Angleterre
R1048-13C-23516-23516|doc03|LOCATION|Baden-Baden
R1048-13C-23516-23516|doc03|LOCATION|Allemagne
R1048-13C-23516-23516|doc03|LOCATION|Christiania
R1048-13C-23516-23516|doc04|PERSON|M. le Professeur de Reynolds
R1048-13C-23516-23516|doc04|ORGANIZATION|Commission de Coopération intellectuelle
R1048-13C-23516-23516|doc04|ORGANIZATION|Secrétariat
R1048-13C-23516-23516|doc04|ORGANIZATION|Seconde Assemblée
R1048-13C-23516-23516|doc04|ORGANIZATION|Troisième Assemblée
R1048-13C-23516-23516|doc04|LOCATION|Genève
R1048-13C-23516-23516|doc04|LOCATION|BERNE
R1048-13C-23516-23516|doc04|LOCATION|Greyerstrasse
R1048-13C-23516-23516|doc05|PERSON|Monsieur le sénateur Ruffini
R1048-13C-23516-23516|doc05|ORGANIZATION|Commission de Coopération intellectuelle
R1048-13C-23516-23516|doc05|ORGANIZATION|Secrétariat
R1048-13C-23516-23516|doc05|ORGANIZATION|Seconde Assemblée
R1048-13C-23516-23516|doc05|ORGANIZATION|Troisième Assemblée
R1048-13C-23516-23516|doc05|ORGANIZATION|Palais du Sénat
R1048-13C-23516-23516|doc05|LOCATION|Genève
R1048-13C-23516-23516|doc05|LOCATION|ROME

